iter	Logloss
0	0.6102919294
1	0.5512160692
2	0.5071466687
3	0.4750667869
4	0.4413536966
5	0.420958316
6	0.3997505888
7	0.3873658161
8	0.3791643558
9	0.3720201318
10	0.3590437739
11	0.3549444916
12	0.3509399079
13	0.3481270542
14	0.3453093842
15	0.3427511634
16	0.3410897685
17	0.3395391603
18	0.3334673045
19	0.3286760553
20	0.3250838457
21	0.3224338824
22	0.313784727
23	0.3115437101
24	0.3057934992
25	0.3010280798
26	0.30059869
27	0.3000007291
28	0.2997282484
29	0.2988353432
30	0.2953926972
31	0.29486902
32	0.2924692582
33	0.29172016
34	0.2905641314
35	0.2901832005
36	0.2898693108
37	0.2893689425
38	0.2885134494
39	0.2883125221
40	0.2876281969
41	0.2870300512
42	0.2867596291
43	0.2865965895
44	0.2863025891
45	0.2861067316
46	0.2859282021
47	0.2856814586
48	0.2851286446
49	0.2845779239
50	0.2837357678
51	0.2832744407
52	0.2826744331
53	0.2825067815
54	0.2822007306
55	0.2820359897
56	0.2816388633
57	0.2808279812
58	0.2804129807
59	0.2800406833
60	0.2796147687
61	0.2791898231
62	0.2787983451
63	0.2783940154
64	0.2780049263
65	0.2773214499
66	0.2769528316
67	0.2767773404
68	0.2766453205
69	0.2764702059
70	0.2761957531
71	0.2750004268
72	0.2748911225
73	0.2746632235
74	0.2743518212
75	0.2742357805
76	0.2740218891
77	0.2739241089
78	0.2727193613
79	0.2722135259
80	0.2720721969
81	0.2717601888
82	0.2714962139
83	0.2712757566
84	0.2703778436
85	0.2696903598
86	0.2689836737
87	0.2684178864
88	0.2679886462
89	0.2676717189
90	0.2675806276
91	0.2674926754
92	0.2671062896
93	0.2667206431
94	0.2665775388
95	0.2664944504
96	0.2664406665
97	0.2661050299
98	0.2655394487
99	0.265454685
100	0.2654048712
101	0.2647760294
102	0.2646171752
103	0.2645472362
104	0.2644836462
105	0.2642315511
106	0.2639333952
107	0.2635514381
108	0.2634712275
109	0.2632009286
110	0.2631190461
111	0.2627673366
112	0.262636511
113	0.2623065736
114	0.2622435556
115	0.2621141752
116	0.2620050906
117	0.2618696093
118	0.261526934
119	0.2614648416
120	0.261423277
121	0.2613706723
122	0.2613136098
123	0.2610983171
124	0.2609810486
125	0.2604569015
126	0.2603296708
127	0.2599809759
128	0.2598543172
129	0.2597024385
130	0.2595416859
131	0.2593873675
132	0.259095145
133	0.2589771072
134	0.2588611798
135	0.2588055719
136	0.2587140026
137	0.2586721618
138	0.2585588053
139	0.258440296
