iter	Passed	Remaining
0	68	67964
1	137	68613
2	206	68540
3	275	68633
4	353	70265
5	402	66707
6	458	65014
7	509	63203
8	557	61365
9	608	60273
10	659	59254
11	706	58166
12	756	57466
13	810	57066
14	866	56910
15	943	58050
16	1023	59161
17	1092	59597
18	1144	59087
19	1199	58799
20	1253	58422
21	1319	58645
22	1380	58651
23	1439	58527
24	1511	58964
25	1586	59429
26	1635	58936
27	1684	58483
28	1732	58004
29	1780	57583
30	1830	57225
31	1887	57106
32	1937	56789
33	2008	57075
34	2085	57492
35	2138	57277
36	2190	57010
37	2238	56659
38	2291	56460
39	2368	56840
40	2438	57027
41	2503	57093
42	2563	57062
43	2625	57036
44	2677	56813
45	2733	56691
46	2783	56434
47	2833	56192
48	2891	56123
49	2949	56040
50	3015	56118
51	3083	56210
52	3145	56210
53	3202	56109
54	3261	56031
55	3345	56399
56	3407	56369
57	3457	56157
58	3510	55982
59	3558	55755
60	3626	55821
61	3701	56002
62	3774	56132
63	3841	56182
64	3905	56185
65	3963	56094
66	4019	55979
67	4079	55907
68	4148	55973
69	4204	55864
70	4255	55675
71	4330	55809
72	4393	55791
73	4441	55584
74	4494	55434
75	4546	55275
76	4599	55138
77	4654	55013
78	4706	54868
79	4759	54729
80	4804	54508
81	4854	54344
82	4910	54251
83	4959	54079
84	5010	53934
85	5062	53801
86	5113	53667
87	5166	53539
88	5214	53371
89	5264	53232
90	5335	53298
91	5397	53274
92	5447	53124
93	5500	53013
94	5548	52861
95	5599	52729
96	5647	52576
97	5699	52455
98	5747	52305
99	5797	52181
100	5848	52056
101	5904	51979
102	5947	51797
103	5997	51669
104	6042	51502
105	6089	51362
106	6143	51274
107	6190	51130
108	6237	50990
109	6295	50939
110	6373	51041
111	6424	50938
112	6473	50815
113	6524	50704
114	6575	50602
115	6638	50588
116	6703	50593
117	6773	50629
118	6849	50707
119	6926	50795
120	7000	50855
121	7078	50943
122	7156	51027
123	7226	51054
124	7274	50919
125	7354	51016
126	7407	50920
127	7464	50851
128	7531	50854
129	7598	50854
130	7675	50917
131	7756	51003
132	7824	51006
133	7902	51069
134	7949	50932
135	7999	50820
136	8045	50678
137	8099	50593
138	8160	50550
139	8222	50509
140	8291	50515
141	8373	50594
142	8423	50482
143	8472	50364
144	8520	50239
145	8572	50144
146	8624	50043
147	8673	49928
148	8722	49816
149	8772	49708
150	8839	49699
151	8912	49720
152	8972	49670
153	9030	49607
154	9086	49535
155	9139	49446
156	9190	49347
157	9238	49230
158	9283	49104
159	9361	49148
160	9418	49079
161	9474	49011
162	9532	48949
163	9592	48896
164	9647	48824
165	9708	48774
166	9752	48647
167	9800	48537
168	9849	48431
169	9903	48353
170	9948	48227
171	9991	48100
172	10044	48015
173	10103	47962
174	10162	47909
175	10207	47787
176	10251	47667
177	10300	47566
178	10374	47585
179	10423	47483
180	10467	47364
181	10517	47272
182	10561	47153
183	10613	47069
184	10661	46968
185	10712	46879
186	10762	46789
187	10809	46686
188	10857	46588
189	10920	46554
190	10968	46457
191	11019	46375
192	11064	46265
193	11112	46169
194	11170	46112
195	11220	46026
196	11273	45951
197	11332	45902
198	11406	45911
199	11461	45845
200	11510	45754
201	11558	45663
202	11604	45561
203	11656	45483
204	11703	45385
205	11754	45306
206	11801	45208
207	11852	45131
